# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
5_8S_rRNA	EBG00001435464	EBT00001813421	rRNA	0	0	0	9	0	0	0	9	0	0	0	0	0	0	0
Bacteria_large_SRP	EBG00001435404	EBT00001813453	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Bacteria_small_SRP	EBG00001435449	EBT00001813415	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
C4	EBG00001435519	EBT00001813387	antisense	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
LSU_rRNA_bacteria	EBG00001435497	EBT00001813448	rRNA	0	0	0	9	0	0	0	9	0	0	0	0	0	0	0
P11	EBG00001435421	EBT00001813401	lincRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
P15	EBG00001435467	EBT00001813403	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
P24	EBG00001435457	EBT00001813399	lincRNA	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
P33	EBG00001435453	EBT00001813487	sRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
P33	EBG00001435494	EBT00001813479	sRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
P4	EBG00001435452	EBT00001813458	sRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
P8	EBG00001435436	EBT00001813497	sRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
P9	EBG00001435530	EBT00001813425	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0011	PA0011	AAG03401	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0012	PA0012	AAG03402	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0013	PA0013	AAG03403	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0014	PA0014	AAG03404	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0015	PA0015	AAG03405	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0017	PA0017	AAG03407	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0020	PA0020	AAG03410	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0034	PA0034	AAG03424	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0038	PA0038	AAG03428	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0039	PA0039	AAG03429	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0040	PA0040	AAG03430	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0
PA0041	PA0041	AAG03431	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1
PA0060	PA0060	AAG03450	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0061	PA0061	AAG03451	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0062	PA0062	AAG03452	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0063	PA0063	AAG03453	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0064	PA0064	AAG03454	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0065	PA0065	AAG03455	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0066	PA0066	AAG03456	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0068	PA0068	AAG03458	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0069	PA0069	AAG03459	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0070	PA0070	AAG03460	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0071	PA0071	AAG03461	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0088	PA0088	AAG03478	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0089	PA0089	AAG03479	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0092	PA0092	AAG03482	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
PA0093	PA0093	AAG03483	protein_coding	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0
PA0094	PA0094	AAG03484	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
PA0095	PA0095	AAG03485	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
PA0096	PA0096	AAG03486	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0097	PA0097	AAG03487	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0133	PA0133	AAG03523	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0134	PA0134	AAG03524	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0135	PA0135	AAG03525	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0136	PA0136	AAG03526	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
PA0137	PA0137	AAG03527	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0138	PA0138	AAG03528	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0141	PA0141	AAG03531	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
PA0142	PA0142	AAG03532	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0144	PA0144	AAG03534	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
PA0145	PA0145	AAG03535	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
PA0146	PA0146	AAG03536	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
PA0147	PA0147	AAG03537	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
PA0148	PA0148	AAG03538	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
PA0149	PA0149	AAG03539	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0150	PA0150	AAG03540	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0151	PA0151	AAG03541	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0157	PA0157	AAG03547	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0158	PA0158	AAG03548	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0159	PA0159	AAG03549	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
PA0160	PA0160	AAG03550	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0161	PA0161	AAG03551	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0163	PA0163	AAG03553	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0164	PA0164	AAG03554	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0166	PA0166	AAG03556	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0167	PA0167	AAG03557	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0168	PA0168	AAG03558	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0169	PA0169	AAG03559	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0170	PA0170	AAG03560	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0171	PA0171	AAG03561	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0172	PA0172	AAG03562	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
PA0173	PA0173	AAG03563	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0174	PA0174	AAG03564	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0175	PA0175	AAG03565	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0254	PA0254	AAG03643	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0255	PA0255	AAG03644	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0256	PA0256	AAG03645	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0257	PA0257	AAG03646	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0258	PA0258	AAG03647	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0259	PA0259	AAG03648	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
PA0260	PA0260	AAG03649	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0261	PA0261	AAG03650	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0262	PA0262	AAG03651	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0332	PA0332	AAG03721	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0333	PA0333	AAG03722	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0334	PA0334	AAG03723	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
PA0335	PA0335	AAG03724	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0338	PA0338	AAG03727	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0364	PA0364	AAG03753	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
